Season,3PPoints,FT,2PPoints,PTS
2022-23,36.9,18.6,58.6,114.1
2021-22,37.2,16.9,56.5,110.6
2020-21,38.1,17,57,112.1
2019-20,36.6,17.9,57.3,111.8
2018-19,34.2,17.7,59.3,111.2
2017-18,31.5,16.6,58.2,106.3
2016-17,29.1,17.8,58.7,105.6
2015-16,25.5,17.7,59.5,102.7
2014-15,23.4,17.1,59.5,100
2013-14,23.1,17.8,60.1,101
2012-13,21.6,16.7,59.8,98.1
2011-12,19.2,16.9,60.2,96.3
2010-11,19.5,18.6,61.5,99.6
2009-10,19.2,18.6,62.6,100.4
2008-09,19.8,19.1,61.1,100
2007-08,19.8,18.8,61.3,99.9
2006-07,18.3,19.6,60.8,98.7
2005-06,17.1,19.6,60.3,97
2004-05,16.8,19.7,60.7,97.2
2003-04,15.6,18.2,59.6,93.4
2002-03,15.3,18.5,61.3,95.1
2001-02,15.6,17.9,62,95.5
2000-01,14.4,18.6,61.8,94.8
1999-00,14.4,19,64.1,97.5
1998-99,13.5,18.8,59.3,91.6
1997-98,13.2,19.4,63,95.6
1996-97,18,18.7,60.2,96.9
1995-96,17.7,19.5,62.3,99.5
1994-95,16.5,19.9,65,101.4
1993-94,9.9,19.6,72,101.5
1992-93,9,20.9,75.4,105.3
1991-92,7.5,20.2,77.6,105.3
1990-91,6.9,21.3,78.1,106.3
1989-90,6.6,21.8,78.6,107
1988-89,6.3,22.1,80.8,109.2
1987-88,4.8,22.3,81.1,108.2
1986-87,4.2,23.2,82.5,109.9
1985-86,2.7,22.9,84.6,110.2
1984-85,2.7,22.4,85.7,110.8
1983-84,1.8,22.6,85.7,110.1
1982-83,1.5,20.9,86.1,108.5
1981-82,1.8,21.3,85.5,108.6
1980-81,1.5,21.7,84.9,108.1
1979-80,2.4,21.3,85.6,109.3
1978-79,0,21.3,89,110.3
1977-78,0,21.4,87.1,108.5
1976-77,0,20.8,85.7,106.5
1975-76,0,20.2,84.1,104.3
1974-75,0,19.3,83.3,102.6
1973-74,0,19.6,86.1,105.7
1972-73,0,19.2,88.4,107.6
1971-72,0,23.3,86.9,110.2
1970-71,0,24.3,88.1,112.4
1969-70,0,25.3,91.4,116.7
1968-69,0,25,87.3,112.3
1967-68,0,26.7,89.9,116.6
1966-67,0,26.5,90.9,117.4
1965-66,0,26.9,88.6,115.5
1964-65,0,25.6,85,110.6
1963-64,0,25.3,85.7,111
1962-63,0,26.1,89.2,115.3
1961-62,0,27,91.8,118.8
1960-61,0,27.4,90.7,118.1
1959-60,0,26.3,89,115.3
1958-59,0,27.4,80.8,108.2
1957-58,0,28.6,78,106.6
1956-57,0,27.7,71.9,99.6
1955-56,0,28.4,70.6,99
1954-55,0,26.5,66.6,93.1
1953-54,0,23.4,56.1,79.5
1952-53,0,25.7,57,82.7
1951-52,0,24.4,59.3,83.7
1950-51,0,24.5,59.6,84.1
1949-50,0,23.6,56.4,80
1948-49,0,22,58,80
1947-48,0,18.2,54.5,72.7
1946-47,0,15.9,51.9,67.8
